Congener(s) ID,MW (g/mol),dUoa (J/mol),Log Koa
1,188.65286,-69424.8718,6.157381526
2,188.65286,-72324.8718,6.53227136
3,188.65286,-72324.8718,6.572032403
4,223.09792,-71002.7296,6.789298102
5,223.09792,-73902.7296,7.209629127
6,223.09792,-73902.7296,7.142887377
7,223.09792,-73902.7296,7.042064732
8,223.09792,-73902.7296,7.201108904
9,223.09792,-73902.7296,6.995203503
10,223.09792,-71002.7296,6.790718139
11,223.09792,-76802.7296,7.520617285
12,223.09792,-76802.7296,7.573158663
13,223.09792,-76802.7296,7.578838812
14,223.09792,-76802.7296,7.33743248
15,223.09792,-76802.7296,7.628540115
16,257.54298,-75480.5874,7.781904138
17,257.54298,-75480.5874,7.628540115
18,257.54298,-75480.5874,7.608659594
19,257.54298,-72580.5874,7.765196745
20,257.54298,-78380.5874,8.12697319
21,257.54298,-78380.5874,8.119873003
22,257.54298,-78380.5874,8.19371494
23,257.54298,-78380.5874,7.878466671
24,257.54298,-75480.5874,7.709482239
25,257.54298,-78380.5874,7.973609167
26,257.54298,-78380.5874,7.953728645
27,257.54298,-75480.5874,7.708062201
28,257.54298,-78380.5874,8.03893088
29,257.54298,-78380.5874,7.908287453
30,257.54298,-75480.5874,7.478016167
31,257.54298,-78380.5874,8.027570582
32,257.54298,-75480.5874,7.709482239
33,257.54298,-78380.5874,8.125553152
34,257.54298,-78380.5874,7.871366485
35,257.54298,-81280.5874,8.496182874
36,257.54298,-81280.5874,8.244836281
37,257.54298,-81280.5874,8.561504588
38,257.54298,-81280.5874,8.408140565
39,257.54298,-81280.5874,8.32293833
40,291.98804,-79958.4452,8.692148014
41,291.98804,-79958.4452,8.641026673
42,291.98804,-79958.4452,8.561504588
43,291.98804,-79958.4452,8.381159857
44,291.98804,-79958.4452,8.530263768
45,291.98804,-77058.4452,8.55820396
46,291.98804,-77058.4452,8.623510436
47,291.98804,-79958.4452,8.415240751
48,291.98804,-79958.4452,8.423760974
49,291.98804,-79958.4452,8.389680081
50,291.98804,-77058.4452,8.35961896
51,291.98804,-77058.4452,8.507558121
52,291.98804,-79958.4452,8.351339075
53,291.98804,-77058.4452,8.486233557
54,291.98804,-74158.4452,8.247665
55,291.98804,-82858.4452,8.977575501
56,291.98804,-82858.4452,9.045737289
57,291.98804,-82858.4452,8.721968797
58,291.98804,-82858.4452,8.78729051
59,291.98804,-79958.4452,8.551564327
60,291.98804,-82858.4452,9.051417438
61,291.98804,-82858.4452,8.848352112
62,291.98804,-79958.4452,8.46210198
63,291.98804,-82858.4452,8.807171032
64,291.98804,-79958.4452,8.638186599
65,291.98804,-79958.4452,8.449321645
66,291.98804,-82858.4452,8.905153602
67,291.98804,-82858.4452,8.760309802
68,291.98804,-82858.4452,8.649546897
69,291.98804,-79958.4452,8.335718665
70,291.98804,-82858.4452,8.873912782
71,291.98804,-79958.4452,8.628246338
72,291.98804,-82858.4452,8.60694578
73,291.98804,-79958.4452,8.355599187
74,291.98804,-82858.4452,8.841251926
75,291.98804,-79958.4452,8.419500863
76,291.98804,-82858.4452,8.883853043
77,291.98804,-85758.4452,9.413526937
78,291.98804,-85758.4452,9.248802616
79,291.98804,-85758.4452,9.163600381
80,291.98804,-85758.4452,8.898053415
81,291.98804,-85758.4452,9.334004851
82,326.4331,-84436.303,9.507249395
83,326.4331,-84436.303,9.244542504
84,326.4331,-81536.303,9.357875101
85,326.4331,-84436.303,9.366665707
86,326.4331,-84436.303,9.299923957
87,326.4331,-84436.303,9.331164776
88,326.4331,-81536.303,9.211268725
89,326.4331,-81536.303,9.373868523
90,326.4331,-84436.303,9.109638965
91,326.4331,-81536.303,9.239257215
92,326.4331,-84436.303,9.059937662
93,326.4331,-81536.303,9.187278591
94,326.4331,-81536.303,9.115308188
95,326.4331,-81536.303,9.188611376
96,326.4331,-78636.303,8.971367383
97,326.4331,-84436.303,9.287143621
98,326.4331,-81536.303,9.167286812
99,326.4331,-84436.303,9.15366012
100,326.4331,-81536.303,9.047336141
101,326.4331,-84436.303,9.108218928
102,326.4331,-81536.303,9.171285168
103,326.4331,-81536.303,8.990026376
104,326.4331,-78636.303,8.796772517
105,326.4331,-87336.303,9.848058335
106,326.4331,-87336.303,9.632212673
107,326.4331,-87336.303,9.589611555
108,326.4331,-87336.303,9.59245163
109,326.4331,-84436.303,9.245962541
110,326.4331,-84436.303,9.413526937
111,326.4331,-87336.303,9.338264962
112,326.4331,-84436.303,9.22608202
113,326.4331,-84436.303,9.13803971
114,326.4331,-87336.303,9.721675019
115,326.4331,-84436.303,9.339685
116,326.4331,-84436.303,9.315544366
117,326.4331,-84436.303,9.325484627
118,326.4331,-87336.303,9.630792636
119,326.4331,-84436.303,9.206201498
120,326.4331,-87336.303,9.363825633
121,326.4331,-84436.303,8.934974384
122,326.4331,-87336.303,9.741555541
123,326.4331,-87336.303,9.610912114
124,326.4331,-87336.303,9.56121081
125,326.4331,-84436.303,9.309864217
126,326.4331,-90236.303,10.11502534
127,326.4331,-90236.303,9.850898409
128,360.87816,-88914.1608,10.26270921
129,360.87816,-88914.1608,10.10650511
130,360.87816,-88914.1608,9.997162246
131,360.87816,-86014.1608,9.968290738
132,360.87816,-86014.1608,10.0615857
133,360.87816,-88914.1608,9.717414908
134,360.87816,-86014.1608,9.932305537
135,360.87816,-86014.1608,9.791030302
136,360.87816,-83114.1608,9.639092785
137,360.87816,-88914.1608,9.977281724
138,360.87816,-88914.1608,10.04260344
139,360.87816,-86014.1608,9.852338423
140,360.87816,-86014.1608,9.876328557
141,360.87816,-88914.1608,9.920480234
142,360.87816,-86014.1608,9.974954664
143,360.87816,-86014.1608,9.92297604
144,360.87816,-86014.1608,9.796361443
145,360.87816,-83114.1608,9.583115805
146,360.87816,-88914.1608,9.769956286
147,360.87816,-86014.1608,9.821684362
148,360.87816,-86014.1608,9.612437081
149,360.87816,-86014.1608,9.851005638
150,360.87816,-83114.1608,9.472494631
151,360.87816,-86014.1608,9.760376242
152,360.87816,-83114.1608,9.531137181
153,360.87816,-88914.1608,9.816817515
154,360.87816,-86014.1608,9.66841406
155,360.87816,-83114.1608,9.300565336
156,360.87816,-91814.1608,10.44873409
157,360.87816,-91814.1608,10.49843539
158,360.87816,-88914.1608,10.05112366
159,360.87816,-91814.1608,10.17892701
160,360.87816,-88914.1608,10.05964388
161,360.87816,-88914.1608,9.785576696
162,360.87816,-91814.1608,10.22294817
163,360.87816,-88914.1608,10.03834333
164,360.87816,-88914.1608,10.03692329
165,360.87816,-88914.1608,9.752915839
166,360.87816,-88914.1608,10.1746669
167,360.87816,-91814.1608,10.2698094
168,360.87816,-88914.1608,9.842378186
169,360.87816,-94714.1608,10.75262206
170,395.32322,-93392.0186,10.81936381
171,395.32322,-90492.0186,10.62935221
172,395.32322,-93392.0186,10.53535636
173,395.32322,-90492.0186,10.67466691
174,395.32322,-90492.0186,10.55338346
175,395.32322,-90492.0186,10.35746403
176,395.32322,-87592.0186,10.20419372
177,395.32322,-90492.0186,10.5946998
178,395.32322,-90492.0186,10.31748047
179,395.32322,-87592.0186,10.1522151
180,395.32322,-93392.0186,10.5864777
181,395.32322,-90492.0186,10.56537852
182,395.32322,-90492.0186,10.37878859
183,395.32322,-90492.0186,10.41743936
184,395.32322,-87592.0186,10.04159393
185,395.32322,-90492.0186,10.49740648
186,395.32322,-87592.0186,10.27483134
187,395.32322,-90492.0186,10.37878859
188,395.32322,-87592.0186,9.990948087
189,395.32322,-96292.0186,11.04230966
190,395.32322,-93392.0186,10.82930407
191,395.32322,-93392.0186,10.64043912
192,395.32322,-93392.0186,10.54103651
193,395.32322,-93392.0186,10.60777826
194,429.76828,-97869.8764,11.3106967
195,429.76828,-94969.8764,11.29974319
196,429.76828,-94969.8764,11.08383198
197,429.76828,-92069.8764,10.73597503
198,429.76828,-94969.8764,11.0185255
199,429.76828,-94969.8764,11.04118285
200,429.76828,-92069.8764,10.85059456
201,429.76828,-92069.8764,10.67999805
202,429.76828,-92069.8764,10.5946998
203,429.76828,-94969.8764,11.07983362
204,429.76828,-92069.8764,10.69732426
205,429.76828,-97869.8764,11.35471786
206,464.21334,-99447.7342,11.70757547
207,464.21334,-96547.7342,11.34772346
208,464.21334,-96547.7342,11.29041369
209,498.6584,-101025.592,11.92481946
